,Series ID,Date,Value,Annual Percent Change
379,CUSR0000SAF1,2025-02-01,336.223,2.6
380,CUSR0000SAF1,2025-01-01,335.671,2.5
381,CUSR0000SAF1,2024-12-01,334.456,2.5
382,CUSR0000SAF1,2024-11-01,333.492,2.4
383,CUSR0000SAF1,2024-10-01,332.418,2.1
384,CUSR0000SAF1,2024-09-01,331.716,2.3
385,CUSR0000SAF1,2024-08-01,330.644,2.1
386,CUSR0000SAF1,2024-07-01,330.142,2.2
387,CUSR0000SAF1,2024-06-01,329.651,2.2
388,CUSR0000SAF1,2024-05-01,328.864,2.2
389,CUSR0000SAF1,2024-04-01,328.413,2.2
390,CUSR0000SAF1,2024-03-01,328.004,2.2
391,CUSR0000SAF1,2024-02-01,327.803,2.2
392,CUSR0000SAF1,2024-01-01,327.575,2.6
393,CUSR0000SAF1,2023-12-01,326.442,2.7
394,CUSR0000SAF1,2023-11-01,325.808,2.9
395,CUSR0000SAF1,2023-10-01,325.424,3.3
396,CUSR0000SAF1,2023-09-01,324.332,3.7
397,CUSR0000SAF1,2023-08-01,323.957,4.3
398,CUSR0000SAF1,2023-07-01,323.046,4.9
399,CUSR0000SAF1,2023-06-01,322.406,5.8
400,CUSR0000SAF1,2023-05-01,321.933,6.7
401,CUSR0000SAF1,2023-04-01,321.209,7.7
402,CUSR0000SAF1,2023-03-01,320.797,8.5
403,CUSR0000SAF1,2023-02-01,320.651,9.4
404,CUSR0000SAF1,2023-01-01,319.421,10.1
405,CUSR0000SAF1,2022-12-01,317.798,10.4
406,CUSR0000SAF1,2022-11-01,316.5,10.6
407,CUSR0000SAF1,2022-10-01,315.023,10.9
408,CUSR0000SAF1,2022-09-01,312.835,11.2
409,CUSR0000SAF1,2022-08-01,310.739,11.4
410,CUSR0000SAF1,2022-07-01,308.083,10.9
411,CUSR0000SAF1,2022-06-01,304.845,10.5
412,CUSR0000SAF1,2022-05-01,301.684,10.1
413,CUSR0000SAF1,2022-04-01,298.363,9.4
414,CUSR0000SAF1,2022-03-01,295.713,8.8
415,CUSR0000SAF1,2022-02-01,292.978,7.9
416,CUSR0000SAF1,2022-01-01,290.144,7.0
417,CUSR0000SAF1,2021-12-01,287.798,6.3
418,CUSR0000SAF1,2021-11-01,286.057,6.1
419,CUSR0000SAF1,2021-10-01,283.972,5.3
420,CUSR0000SAF1,2021-09-01,281.299,4.6
421,CUSR0000SAF1,2021-08-01,278.985,3.7
422,CUSR0000SAF1,2021-07-01,277.759,3.4
423,CUSR0000SAF1,2021-06-01,276.002,2.4
424,CUSR0000SAF1,2021-05-01,273.89,2.2
425,CUSR0000SAF1,2021-04-01,272.761,2.4
426,CUSR0000SAF1,2021-03-01,271.756,3.5
427,CUSR0000SAF1,2021-02-01,271.498,3.6
428,CUSR0000SAF1,2021-01-01,271.223,3.8
429,CUSR0000SAF1,2020-12-01,270.781,4.0
430,CUSR0000SAF1,2020-11-01,269.636,3.7
431,CUSR0000SAF1,2020-10-01,269.653,3.9
432,CUSR0000SAF1,2020-09-01,269.043,3.9
433,CUSR0000SAF1,2020-08-01,268.957,4.1
434,CUSR0000SAF1,2020-07-01,268.532,4.1
435,CUSR0000SAF1,2020-06-01,269.553,4.5
436,CUSR0000SAF1,2020-05-01,268.086,4.0
437,CUSR0000SAF1,2020-04-01,266.37,3.5
438,CUSR0000SAF1,2020-03-01,262.622,1.9
439,CUSR0000SAF1,2020-02-01,261.962,1.8
440,CUSR0000SAF1,2020-01-01,261.293,1.9
441,CUSR0000SAF1,2019-12-01,260.483,1.8
442,CUSR0000SAF1,2019-11-01,260.048,2.0
443,CUSR0000SAF1,2019-10-01,259.434,2.1
444,CUSR0000SAF1,2019-09-01,258.865,1.8
445,CUSR0000SAF1,2019-08-01,258.288,1.7
446,CUSR0000SAF1,2019-07-01,258.059,1.8
447,CUSR0000SAF1,2019-06-01,257.952,1.9
448,CUSR0000SAF1,2019-05-01,257.818,2.0
449,CUSR0000SAF1,2019-04-01,257.325,1.8
450,CUSR0000SAF1,2019-03-01,257.681,2.1
451,CUSR0000SAF1,2019-02-01,257.253,2.0
452,CUSR0000SAF1,2019-01-01,256.533,1.6
453,CUSR0000SAF1,2018-12-01,255.877,1.7
454,CUSR0000SAF1,2018-11-01,254.887,1.5
455,CUSR0000SAF1,2018-10-01,254.17,1.2
456,CUSR0000SAF1,2018-09-01,254.302,1.4
457,CUSR0000SAF1,2018-08-01,253.949,1.4
458,CUSR0000SAF1,2018-07-01,253.598,1.4
459,CUSR0000SAF1,2018-06-01,253.167,1.4
460,CUSR0000SAF1,2018-05-01,252.864,1.2
461,CUSR0000SAF1,2018-04-01,252.867,1.3
462,CUSR0000SAF1,2018-03-01,252.365,1.3
463,CUSR0000SAF1,2018-02-01,252.264,1.4
464,CUSR0000SAF1,2018-01-01,252.377,1.7
465,CUSR0000SAF1,2017-12-01,251.716,1.6
466,CUSR0000SAF1,2017-11-01,251.195,1.4
467,CUSR0000SAF1,2017-10-01,251.048,1.3
468,CUSR0000SAF1,2017-09-01,250.826,1.2
469,CUSR0000SAF1,2017-08-01,250.469,1.1
470,CUSR0000SAF1,2017-07-01,250.185,1.0
471,CUSR0000SAF1,2017-06-01,249.77,0.8
472,CUSR0000SAF1,2017-05-01,249.972,0.9
473,CUSR0000SAF1,2017-04-01,249.589,0.5
474,CUSR0000SAF1,2017-03-01,249.244,0.5
475,CUSR0000SAF1,2017-02-01,248.735,0.1
476,CUSR0000SAF1,2017-01-01,248.065,-0.1
477,CUSR0000SAF1,2016-12-01,247.725,-0.2
478,CUSR0000SAF1,2016-11-01,247.741,-0.3
479,CUSR0000SAF1,2016-10-01,247.812,-0.4
480,CUSR0000SAF1,2016-09-01,247.772,-0.3
481,CUSR0000SAF1,2016-08-01,247.746,0.0
482,CUSR0000SAF1,2016-07-01,247.658,0.2
483,CUSR0000SAF1,2016-06-01,247.683,0.3
484,CUSR0000SAF1,2016-05-01,247.856,0.7
485,CUSR0000SAF1,2016-04-01,248.235,0.9
486,CUSR0000SAF1,2016-03-01,248.029,0.8
487,CUSR0000SAF1,2016-02-01,248.606,0.9
488,CUSR0000SAF1,2016-01-01,248.353,0.9
489,CUSR0000SAF1,2015-12-01,248.206,0.8
490,CUSR0000SAF1,2015-11-01,248.525,1.3
491,CUSR0000SAF1,2015-10-01,248.755,1.6
492,CUSR0000SAF1,2015-09-01,248.492,1.6
493,CUSR0000SAF1,2015-08-01,247.742,1.6
494,CUSR0000SAF1,2015-07-01,247.157,1.6
495,CUSR0000SAF1,2015-06-01,246.937,1.8
496,CUSR0000SAF1,2015-05-01,246.239,1.6
497,CUSR0000SAF1,2015-04-01,246.002,2.0
498,CUSR0000SAF1,2015-03-01,246.072,2.3
499,CUSR0000SAF1,2015-02-01,246.495,3.0
